Unnamed: 0,match_id,player,batting_team,runs,balls_faced,fours,sixes,is_dismissed,dismissal_kind,inning,strike_rate,balls_bowled,runs_conceded,dot_balls,wickets,overs,economy,maidens,catches,run_outs,direct_run_out,stadium,pitch_type,grass_cover,moisture,dew_prediction,bounce_and_carry,fantasy_points,matchYear,matchMonth,matchDay,matchDayOfWeek,matchDayOfYear
919,1216534,DA Warner,Sunrisers Hyderabad,6.0,6.0,1.0,0.0,0.0,0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,10.0,2020,9,21,0,265
917,1216534,B Kumar,Sunrisers Hyderabad,0.0,2.0,0.0,0.0,1.0,bowled,2.0,0.0,25.0,24.0,12.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,72.0,2020,9,21,0,265
916,1216534,Abhishek Sharma,Sunrisers Hyderabad,7.0,4.0,1.0,0.0,1.0,run out,2.0,175.0,12.0,16.0,2.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,43.0,2020,9,21,0,265
915,1216534,AJ Finch,Royal Challengers Bangalore,29.0,27.0,1.0,2.0,1.0,lbw,1.0,107.40740740740742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,45.0,2020,9,21,0,265
923,1216534,MK Pandey,Sunrisers Hyderabad,34.0,33.0,3.0,1.0,1.0,caught,2.0,103.03030303030305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,52.0,2020,9,21,0,265
914,1216534,AB de Villiers,Royal Challengers Bangalore,51.0,30.0,4.0,2.0,1.0,run out,1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,93.0,2020,9,21,0,265
925,1216534,Navdeep Saini,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,20.0,10.0,2.0,4.0,5.0,0.0,1.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,82.0,2020,9,21,0,265
928,1216534,S Dube,Royal Challengers Bangalore,7.0,8.0,0.0,0.0,1.0,run out,1.0,87.5,18.0,15.0,7.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,112.0,2020,9,21,0,265
930,1216534,T Natarajan,Sunrisers Hyderabad,3.0,4.0,0.0,0.0,0.0,0,2.0,75.0,24.0,34.0,6.0,1.0,4.0,8.5,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,39.0,2020,9,21,0,265
935,1216534,YS Chahal,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,18.0,11.0,3.0,4.0,4.5,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,111.0,2020,9,21,0,265
932,1216534,V Kohli,Royal Challengers Bangalore,14.0,13.0,0.0,0.0,1.0,caught,1.0,107.6923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,30.0,2020,9,21,0,265
927,1216534,Rashid Khan,Sunrisers Hyderabad,6.0,6.0,1.0,0.0,1.0,bowled,2.0,100.0,24.0,31.0,4.0,0.0,4.0,7.75,0.0,1.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,22.0,2020,9,21,0,265
933,1216534,V Shankar,Sunrisers Hyderabad,0.0,1.0,0.0,0.0,1.0,bowled,2.0,0.0,11.0,11.0,6.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,34.0,2020,9,21,0,265
934,1216534,Washington Sundar,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,7.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,4.0,2020,9,21,0,265
926,1216534,PK Garg,Sunrisers Hyderabad,12.0,13.0,1.0,0.0,1.0,bowled,2.0,92.3076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,16.0,2020,9,21,0,265
931,1216534,UT Yadav,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,46.0,10.0,1.0,4.0,11.5,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,36.0,2020,9,21,0,265
929,1216534,Sandeep Sharma,Sunrisers Hyderabad,9.0,6.0,1.0,0.0,1.0,caught,2.0,150.0,24.0,36.0,7.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,Dubai International Cricket Stadium,Balanced,Medium,Low,High,True bounce,20.0,2020,9,21,0,265
100,1216496,SM Curran,Chennai Super Kings,17.0,6.0,1.0,2.0,1.0,stumped,2.0,283.33333333333337,25.0,32.0,10.0,3.0,4.0,8.0,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,137.0,2020,9,22,1,266
