match_id,date,bowler,wickets,runs_given,overs_bowled
1216524,2020-10-27,JO Holder,1,45,4
1216524,2020-10-27,K Rabada,0,54,4
1216524,2020-10-27,MP Stoinis,0,15,2
1216524,2020-10-27,R Ashwin,1,35,3
1216524,2020-10-27,Rashid Khan,3,7,4
1216524,2020-10-27,S Nadeem,1,7,1
1216524,2020-10-27,Sandeep Sharma,2,25,4
1216524,2020-10-27,T Natarajan,2,26,4
1216524,2020-10-27,TU Deshpande,0,35,3
1216524,2020-10-27,V Shankar,1,11,2
1216525,2020-10-10,CH Morris,3,19,4
1216525,2020-10-10,DJ Bravo,0,27,3
1216525,2020-10-10,DL Chahar,1,9,3
1216525,2020-10-10,I Udana,1,30,4
1216525,2020-10-10,KV Sharma,0,33,4
1216525,2020-10-10,Navdeep Saini,1,15,4
1216525,2020-10-10,RA Jadeja,0,7,2
1216525,2020-10-10,S Dube,0,13,1
1216525,2020-10-10,SM Curran,1,43,4
1216525,2020-10-10,SN Thakur,2,38,4
1216525,2020-10-10,Washington Sundar,2,16,3
1216525,2020-10-10,YS Chahal,1,34,4
1216526,2020-10-16,AD Russell,0,15,2
1216526,2020-10-16,CJ Green,0,24,3
1216526,2020-10-16,CV Varun,1,23,4
1216526,2020-10-16,JJ Bumrah,1,21,4
1216526,2020-10-16,KH Pandya,0,23,4
1216526,2020-10-16,M Prasidh Krishna,0,30,2
1216526,2020-10-16,NM Coulter-Nile,1,48,4
1216526,2020-10-16,PJ Cummins,0,28,3
1216526,2020-10-16,RD Chahar,2,18,4
1216526,2020-10-16,Shivam Mavi,1,24,3
1216526,2020-10-16,TA Boult,1,31,4
1216527,2020-09-27,AS Rajpoot,1,37,4
1216527,2020-09-27,GJ Maxwell,0,29,3
1216527,2020-09-27,JC Archer,0,45,4
1216527,2020-09-27,JD Unadkat,0,26,3
1216527,2020-09-27,JDS Neesham,1,40,4
1216527,2020-09-27,M Ashwin,1,16,2
1216527,2020-09-27,Mohammed Shami,3,52,4
1216527,2020-09-27,R Tewatia,0,19,1
1216527,2020-09-27,Ravi Bishnoi,0,32,4
1216527,2020-09-27,S Gopal,0,43,4
1216527,2020-09-27,SS Cottrell,1,49,3
1216527,2020-09-27,TK Curran,1,43,4
1216528,2020-10-13,DJ Bravo,2,25,3
1216528,2020-10-13,DL Chahar,0,26,4
1216528,2020-10-13,KK Ahmed,2,44,4
1216528,2020-10-13,KV Sharma,2,34,4
1216528,2020-10-13,PP Chawla,0,8,1
1216528,2020-10-13,RA Jadeja,1,21,3
1216528,2020-10-13,Rashid Khan,0,30,4
1216528,2020-10-13,S Nadeem,0,29,4
1216528,2020-10-13,SM Curran,2,18,3
1216528,2020-10-13,SN Thakur,1,9,2
1216528,2020-10-13,Sandeep Sharma,2,19,4
1216528,2020-10-13,T Natarajan,2,40,4
1216529,2020-10-11,A Nortje,0,27,4
1216529,2020-10-11,AR Patel,1,24,3
1216529,2020-10-11,HV Patel,0,20,2
1216529,2020-10-11,JJ Bumrah,0,26,4
1216529,2020-10-11,JL Pattinson,0,34,3
1216529,2020-10-11,K Rabada,2,25,4
1216529,2020-10-11,KA Pollard,0,10,1
1216529,2020-10-11,KH Pandya,2,26,4
1216529,2020-10-11,MP Stoinis,1,31,3
1216529,2020-10-11,R Ashwin,1,35,4
1216529,2020-10-11,RD Chahar,1,27,4
1216529,2020-10-11,TA Boult,1,34,4
1216530,2020-11-01,BA Stokes,0,40,3
1216530,2020-11-01,CV Varun,2,20,4
1216530,2020-11-01,JC Archer,1,19,4
1216530,2020-11-01,KL Nagarkoti,1,23,4
1216530,2020-11-01,Kartik Tyagi,2,36,4
1216530,2020-11-01,PJ Cummins,4,32,4
1216530,2020-11-01,R Tewatia,3,24,4
1216530,2020-11-01,S Gopal,1,43,3
1216530,2020-11-01,SP Narine,0,37,4
1216530,2020-11-01,Shivam Mavi,2,14,4
1216530,2020-11-01,VR Aaron,0,22,2
1216531,2020-10-15,Arshdeep Singh,1,19,2
1216531,2020-10-15,CH Morris,0,19,4
1216531,2020-10-15,CJ Jordan,1,18,3
1216531,2020-10-15,GJ Maxwell,0,28,4
1216531,2020-10-15,I Udana,0,13,2
1216531,2020-10-15,M Ashwin,2,23,4
1216531,2020-10-15,Mohammed Shami,2,45,4
1216531,2020-10-15,Mohammed Siraj,0,43,3
1216531,2020-10-15,Navdeep Saini,0,21,4
1216531,2020-10-15,Ravi Bishnoi,0,26,3
1216531,2020-10-15,Washington Sundar,0,38,4
1216531,2020-10-15,YS Chahal,2,31,3
1216532,2020-09-29,A Mishra,2,35,4
1216532,2020-09-29,A Nortje,0,40,4
1216532,2020-09-29,AR Patel,0,13,2
1216532,2020-09-29,Abhishek Sharma,0,32,4
1216532,2020-09-29,B Kumar,2,24,4
1216532,2020-09-29,I Sharma,0,24,3
1216532,2020-09-29,K Rabada,2,21,4
1216532,2020-09-29,KK Ahmed,1,42,4
1216532,2020-09-29,MP Stoinis,0,22,3
1216532,2020-09-29,Rashid Khan,3,14,4
1216532,2020-09-29,T Natarajan,1,24,4
1216533,2020-10-19,AS Rajpoot,0,8,1
1216533,2020-10-19,BA Stokes,0,27,3
1216533,2020-10-19,DL Chahar,2,18,4
1216533,2020-10-19,JC Archer,1,20,4
1216533,2020-10-19,JR Hazlewood,1,19,4
1216533,2020-10-19,Kartik Tyagi,2,34,4
1216533,2020-10-19,PP Chawla,0,32,3
1216533,2020-10-19,R Tewatia,1,17,4
1216533,2020-10-19,RA Jadeja,0,11,2
1216533,2020-10-19,S Gopal,1,14,4
1216533,2020-10-19,SM Curran,0,6,1
1216533,2020-10-19,SN Thakur,0,33,4
1216534,2020-09-21,Abhishek Sharma,1,16,2
1216534,2020-09-21,B Kumar,2,24,4
1216534,2020-09-21,DW Steyn,1,32,4
1216534,2020-09-21,MR Marsh,0,6,1
1216534,2020-09-21,Navdeep Saini,2,20,4
1216534,2020-09-21,Rashid Khan,0,31,4
1216534,2020-09-21,S Dube,3,15,3
